对焦位置（0-100）	等待时间	串口返回	图像处理返回	与上一张清晰度对比	对焦清晰度返回	返回时间1	返回时间2	返回时间3	返回时间4	返回时间5	返回时间6	发送到返回时间	拍摄时间	存图时间	总拍照获取图像时间	图像处理时间	一次完整对焦拍照时间
100	50	0	1	0.0764495	7.72083	0	0	0	0	0	0	0.051	0.003	0.126	0.129	0.514	0.694
0	50	0	1	0.0331459	7.68769	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.547	0.717
100	50	0	0	0.0177319	7.70542	0	0	0	0	0	0	0.05	0.002	0.116	0.118	0.567	0.735
0	50	0	0	0.00629839	7.69912	0	0	0	0	0	0	0.05	0.001	0.117	0.118	0.54	0.708
100	50	0	1	0.0307765	7.7299	0	0	0	0	0	0	0.05	0.001	0.117	0.118	0.546	0.714
0	50	0	1	0.0383985	7.6915	0	0	0	0	0	0	0.051	0.001	0.123	0.124	0.558	0.733
100	50	0	1	0.031835	7.72333	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.528	0.698
0	50	0	0	0.0257395	7.69759	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.537	0.706
100	50	0	0	0.0119575	7.68564	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.527	0.696
0	50	0	0	0.017857	7.70349	0	0	0	0	0	0	0.05	0.002	0.119	0.121	0.527	0.698
100	50	0	1	0.0331632	7.67033	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.53	0.699
0	50	0	0	0.00308746	7.66724	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.545	0.714
100	50	0	1	0.0312837	7.69853	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.541	0.711
0	50	0	0	0.00947042	7.68905	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.521	0.691
100	50	0	1	0.0298717	7.71893	0	0	0	0	0	0	0.052	0.001	0.148	0.149	0.519	0.72
0	50	0	0	0.0255348	7.69339	0	0	0	0	0	0	0.051	0.003	0.116	0.119	0.526	0.696
100	50	0	0	0.0113499	7.70474	0	0	0	0	0	0	0.051	0.002	0.116	0.118	0.518	0.687
0	50	0	0	0.000503839	7.70525	0	0	0	0	0	0	0.051	0.001	0.116	0.117	0.535	0.703
100	50	0	0	0.0235237	7.68172	0	0	0	0	0	0	0.051	0.002	0.117	0.119	0.533	0.703
0	50	0	0	0.00100189	7.68272	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.525	0.694
100	50	0	1	0.0341452	7.71687	0	0	0	0	0	0	0.051	0.001	0.12	0.121	0.577	0.749
0	50	0	1	0.03444	7.68243	0	0	0	0	0	0	0.051	0.002	0.141	0.143	0.535	0.729
100	50	0	0	0.00583903	7.67659	0	0	0	0	0	0	0.053	0.005	0.133	0.138	0.541	0.732
0	50	0	0	0.0171164	7.69371	0	0	0	0	0	0	0.05	0.002	0.117	0.119	0.535	0.704
100	50	0	0	0.00590605	7.6878	0	0	0	0	0	0	0.05	0.001	0.117	0.118	0.56	0.728
0	50	0	0	0.0122112	7.70001	0	0	0	0	0	0	0.05	0.001	0.118	0.119	0.558	0.727
100	50	0	1	0.0278141	7.72783	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.553	0.722
0	50	0	0	0.0152147	7.71261	0	0	0	0	0	0	0.051	0.001	0.118	0.119	0.541	0.711
100	50	0	0	0.0104486	7.70216	0	0	0	0	0	0	0.051	0.001	0.118	0.119	0.525	0.695
0	50	0	0	0.00595232	7.69621	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.543	0.712
100	50	0	0	0.00211608	7.69409	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.55	0.719
0	50	0	0	0.00338346	7.69748	0	0	0	0	0	0	0.051	0.001	0.119	0.12	0.527	0.698
100	50	0	0	0.000319537	7.6978	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.536	0.706
0	50	0	0	0.00119796	7.6966	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.546	0.716
100	50	0	1	0.0272358	7.72383	0	0	0	0	0	0	0.051	0.002	0.118	0.12	0.527	0.698
0	50	0	0	0.0243544	7.69948	0	0	0	0	0	0	0.05	0.001	0.117	0.118	0.562	0.73
100	50	0	0	0.00706113	7.70654	0	0	0	0	0	0	0.051	0.002	0.151	0.153	0.544	0.748
0	50	0	0	0.0183319	7.68821	0	0	0	0	0	0	0.052	0.003	0.115	0.118	0.561	0.731
100	50	0	0	0.0160345	7.70424	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.554	0.723
0	50	0	0	0.0209546	7.7252	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.54	0.71
100	50	0	1	0.0455773	7.67962	0	0	0	0	0	0	0.051	0.002	0.128	0.13	0.537	0.718
0	50	0	1	0.038209	7.71783	0	0	0	0	0	0	0.051	0.003	0.119	0.122	0.531	0.704
100	50	0	0	0.00904776	7.70878	0	0	0	0	0	0	0.05	0.002	0.121	0.123	0.55	0.723
0	50	0	1	0.0316427	7.67714	0	0	0	0	0	0	0.052	0.001	0.118	0.119	0.522	0.693
100	50	0	0	0.00601615	7.68316	0	0	0	0	0	0	0.05	0.002	0.121	0.123	0.554	0.727
0	50	0	1	0.0271557	7.71031	0	0	0	0	0	0	0.052	0.001	0.126	0.127	0.523	0.702
100	50	0	0	0.00353126	7.71384	0	0	0	0	0	0	0.052	0.002	0.122	0.124	0.571	0.747
0	50	0	0	0.0105355	7.72438	0	0	0	0	0	0	0.051	0.001	0.124	0.125	0.532	0.708
100	50	0	0	0.0235941	7.70078	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.546	0.715
0	50	0	0	0.000719457	7.70006	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.55	0.719
100	50	0	0	0.0118356	7.68823	0	0	0	0	0	0	0.051	0.001	0.127	0.128	0.531	0.71
0	50	0	1	0.0294313	7.71766	0	0	0	0	0	0	0.05	0.002	0.117	0.119	0.55	0.719
100	50	0	0	0.0248038	7.69286	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.544	0.713
0	50	0	0	0.0159627	7.70882	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.535	0.705
100	50	0	0	0.00881838	7.71764	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.544	0.714
0	50	0	0	0.00531385	7.71232	0	0	0	0	0	0	0.051	0.002	0.116	0.118	0.536	0.705
100	50	0	1	0.0349163	7.67741	0	0	0	0	0	0	0.05	0.002	0.117	0.119	0.53	0.699
0	50	0	0	0.0115536	7.66585	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.542	0.711
100	50	0	1	0.0268882	7.69274	0	0	0	0	0	0	0.051	0.001	0.123	0.124	0.545	0.72
0	50	0	0	0.0184954	7.67425	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.536	0.705
100	50	0	0	0.0167121	7.65753	0	0	0	0	0	0	0.051	0.001	0.231	0.232	0.591	0.874
0	50	0	0	0.0063684	7.6639	0	0	0	0	0	0	0.051	0.001	0.133	0.134	0.543	0.728
100	50	0	1	0.0271778	7.69108	0	0	0	0	0	0	0.052	0.002	0.121	0.123	0.568	0.743
0	50	0	0	0.0166165	7.67446	0	0	0	0	0	0	0.051	0.002	0.116	0.118	0.542	0.711
